Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
115,2021-01-17,Bundesliga,Matchweek 16,Home,Bayern Munich,Freiburg,Y,0.50,0.87,Left Foot,10,7,0-0,Florian Müller,Thomas Müller,Thomas Müller,Pass (Live),Serge Gnabry,Pass (Live),
116,2021-01-08,Bundesliga,Matchweek 15,Away,Bayern Munich,M'Gladbach,Y,0.79,0.96,Right Foot,13,20,0-0,Yann Sommer,,,Fouled,Alphonso Davies,Interception,
117,2021-01-03,Bundesliga,Matchweek 14,Home,Bayern Munich,Mainz 05,Y,0.38,0.63,Right Foot,10,83,4-2,Finn Dahmen,Thomas Müller,Thomas Müller,Pass (Live),Jamal Musiala,Pass (Live),Volley
118,2021-01-03,Bundesliga,Matchweek 14,Home,Bayern Munich,Mainz 05,Y,0.79,0.99,Right Foot,13,76,3-2,Finn Dahmen,,Serge Gnabry,Fouled,Leon Goretzka,Pass (Live),
119,2020-12-19,Bundesliga,Matchweek 13,Away,Bayern Munich,Leverkusen,Y,0.06,0.07,Right Foot,16,90+3,1-1,Lukáš Hrádecký,Joshua Kimmich,Joshua Kimmich,Pass (Live),,,Deflected
120,2020-12-19,Bundesliga,Matchweek 13,Away,Bayern Munich,Leverkusen,Y,0.34,0.24,Head,8,43,0-1,Lukáš Hrádecký,Thomas Müller,Thomas Müller,Pass (Live),Leroy Sané,Pass (Live),
121,2020-12-16,Bundesliga,Matchweek 12,Home,Bayern Munich,Wolfsburg,Y,0.26,0.69,Right Foot,16,50,1-1,Koen Casteels,Jérôme Boateng,Jérôme Boateng,Pass (Live),,,
122,2020-12-16,Bundesliga,Matchweek 12,Home,Bayern Munich,Wolfsburg,Y,0.44,0.94,Head,6,45+1,0-1,Koen Casteels,Kingsley Coman,Kingsley Coman,Pass (Live),Kingsley Coman,Take-On,
123,2020-12-12,Bundesliga,Matchweek 11,Away,Bayern Munich,Union Berlin,Y,0.51,0.94,Right Foot,10,67,0-1,Andreas Luthe,Kingsley Coman,Kingsley Coman,Pass (Live),Kingsley Coman,Take-On,
124,2020-11-28,Bundesliga,Matchweek 9,Away,Bayern Munich,Stuttgart,Y,0.03,0.30,Right Foot,27,45+1,1-1,Gregor Kobel,Kingsley Coman,Kingsley Coman,Pass (Live),David Alaba,Pass (Live),
125,2020-11-25,Champions Lg,Group stage,Home,Bayern Munich,RB Salzburg,Y,0.47,0.79,Left Foot,9,42,0-0,Cican Stankovic,Thomas Müller,Thomas Müller,Shot,,,
126,2020-11-07,Bundesliga,Matchweek 7,Away,Bayern Munich,Dortmund,Y,0.06,0.50,Head,12,48,1-1,Roman Bürki,Lucas Hernández,Lucas Hernández,Pass (Live),Serge Gnabry,Pass (Live),Deflected
127,2020-11-03,Champions Lg,Group stage,Away,Bayern Munich,RB Salzburg,Y,0.39,0.96,Head,4,88,4-2,Cican Stankovic,Javi Martínez,Javi Martínez,Pass (Live),Bouna Sarr,Pass (Live),
