,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
45,The Thin Man,1934,Metro-Goldwyn-Mayer,Nominee,1934,91,"Comedy,Crime,Mystery",8.0,"27,959","The recently divorced Gilbert discovers that his new girlfriend has stolen $50,000 and is carrying on with other men. Not long afterward, he disappears. Anxious to locate her father, Gilbert's daughter (Maureen O'Sullivan) goes to private detective Nick Charles (William Powell) for help.","Classics, Comedy, Mystery & Suspense","Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy, The Thin Man is an endlessly charming romp.",NR,W.S. Van Dyke,"Dashiell Hammett, Frances Goodrich, Albert Hackett","William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth, William Henry, Harold Huber, Cesar Romero, Natalie Moorhead, Edward S. Brophy, Creighton Hale, Phil Tead, Nick Copeland, Dink Templeton, Ruth Channing, Edward Ellis, Gertrude Short, Clay Clement, Cyril Thornton, Robert E. Homans, Raymond Brown, Douglas Fowley, Sherry Hall, Polly Bailey, Thomas E. Jackson, Dixie Laughton, Arthur Belasco, Edward Hearn, Garry Owen, Fred Malatesta, Rolfe Sedan, Leo White, Walter Long, Kenneth Gibson, Tui Lorraine Bow, Bert Roach, Huey White, Ben Taggart, Charles Williams, John Larkin, Harry Tenbrook, Pat Flaherty",1934-05-23,2009-01-01,MGM,Fresh,97.0,39.0,Upright,93.0,12999.0,6.0,38.0,1.0,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
46,Viva Villa!,1934,Metro-Goldwyn-Mayer,Nominee,1934,115,"Action,Biography,Romance",6.4,"1,277",,,,,,,,,,,,,,,,,,,,3ca53584-968b-4ef8-9a29-408223864bc9
47,The White Parade,1934,Jesse L. Lasky (production company),Nominee,1934,80,Drama,6.8,86,,,,,,,,,,,,,,,,,,,,8d241c99-a9e3-4371-8011-949b36ca7f47
48,Mutiny on the Bounty,1935,Metro-Goldwyn-Mayer,Winner,1935,132,"Adventure,Biography,Drama",7.7,"21,805","As the cruel captain of the HMS Bounty, a ship bound for Tahiti, William Bligh (Charles Laughton) wins few friends. When the crew members finally tire of his abuse, Fletcher Christian (Clark Gable) leads a mutiny, resulting in Bligh's unceremonious removal from the ship. While Christian and the remaining crew sail on to Tahiti, Bligh becomes intent on exacting revenge, and he targets Roger Byam (Franchot Tone), a sailor who had actually tried to stop the mutiny.","Action & Adventure, Classics, Drama","The historical inaccuracies in this high-seas adventure are more than offset by its timeless themes, larger-than-life performances from Clark Gable and Charles Laughton, and Frank Lloyd's superb direction.",NR,Frank Lloyd,"Jules Furthman, Talbot Jennings, Carey Wilson","Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan, Dudley Digges, Donald Crisp, Henry Stephenson, Francis Lister, Spring Byington, Movita, Mamo Clark, Ian Wolfe, Ivan Simpson, DeWitt Jennings, Stanley Fields, Wallis Clark, Vernon P. Downing, Dick Winslow, Byron Russell, Percy Waram, David Torrence, John Harrington, Robert Livingston, Douglas Walton, Alec Craig, Doris Lloyd, Eric Wilton, Lionel Belmore, Nadine Beresford, Marion Clayton, Mary Gordon, Winter Hall, James Cagney, David Niven, Charles Nauu, Sam Wallace Driscoll, Hal Le Sueur, William Bambridge, David Thursby, Crauford Kent, Pat Flaherty, Charles Irwin, John Powers, King Mojave, William Stack, Harold Entwistle, Will Stanton, Harry Cording",1935-11-08,2017-03-07,MGM,Certified-Fresh,93.0,41.0,Upright,83.0,8061.0,9.0,38.0,3.0,3cea2927-f5a4-4ffb-9e17-88566f2cd111
49,Alice Adams,1935,RKO Radio,Nominee,1935,99,"Comedy,Drama,Romance",6.9,"4,020","Based on the award-winning novel by Booth Tarkington, this comedic drama follows a young working-class woman (Katharine Hepburn) as she attempts, unsuccessfully, to climb the social ladder. When she meets the wealthy Arthur Russell (Fred MacMurray), he is amused by her efforts to maintain an upper-crust facade, and she is thrilled when he agrees to have dinner at her family's home. Things teeter on the brink of disaster as the Adams clan frantically tries to create an evening of fine dining.","Classics, Drama, Romance",,NR,George Stevens,"Mortimer Offner, Dorothy Yost","Katharine Hepburn, Fred MacMurray, Fred Stone, Evelyn Venable, Frank Albertson, Ann Shoemaker, Charley Grapewin, Grady Sutton, Hedda Hopper, Jonathan Hale, Janet McLeod, Virginia Howell, Zeffie Tilbury, Ella McKenzie, Hattie McDaniel",1935-01-01,2016-11-21,Turner Home Entertainment,Fresh,94.0,17.0,Upright,71.0,2419.0,4.0,16.0,1.0,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
50,Broadway Melody of 1936,1935,Metro-Goldwyn-Mayer,Nominee,1935,101,"Musical,Romance",6.8,"1,662",,,,,,,,,,,,,,,,,,,,11f40e01-e1d5-4f74-ae72-230823543e37
51,Captain Blood,1935,Cosmopolitan,Nominee,1935,119,"Action,Adventure,History",7.7,"13,708","In England in the 1600s, Dr. Peter Blood (Errol Flynn) treats the wounds of a man who had been injured in a rebellion against King James II, for which he is convicted of treason and sold into slavery in the Caribbean colony of Port Royal, Jamaica. Despite the kindnesses of his new owner, Arabella Bishop (Olivia de Havilland), Blood and his fellow slaves escape to begin a life of high-seas piracy. But when Captain Blood crosses paths with Arabella again years later, he remembers her compassion.","Action & Adventure, Classics",,NR,Michael Curtiz,Casey Robinson,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Lionel Atwill, Guy Kibbee, George Hassell, Robert H. Barrat, Donald Meek, J. Carroll Naish, Mary Forbes, Henry Stephenson, Jessie Ralph, Ross Alexander, Forrester Harvey, Frank McGlynn Sr., Hobart Cavanaugh, David Torrence, Pedro de Cordoba, Leonard Mudie, Stuart Casey, Halliwell Hobbes, Colin Kenny, E.E. Clive, Holmes Herbert, Reginald Barlow, Ivan Simpson, Denis D'Auburn, Vernon Steele, James Gardner, Georges Renavent, Murray Kinnell, Harry Cording, Maude Leslie, Chris-Pin Martin, David Thursby, Yola d'Avril, Renee Terres, Henry Otho, Lucille Porcett, Tina Minard, Alphonse Martell, Andre Cheron, Frank Puglia, Tom Wilson",1935-12-28,2008-01-01,Twentieth Century Fox Home Entertainment,Fresh,100.0,27.0,Upright,89.0,8194.0,4.0,27.0,0.0,106183d2-50d3-4d50-8ead-6ed52a93f7c6
52,David Copperfield,1935,Metro-Goldwyn-Mayer,Nominee,1935,130,"Adventure,Drama,Romance",7.4,"4,069",,,,,,,,,,,,,,,,,,,,303fd7b4-de82-4d82-a79f-857b45dda877
53,The Informer,1935,RKO Radio,Nominee,1935,91,"Crime,Drama",7.4,"6,169","Gypo Nolan (Victor McLaglen) is a former Irish Republican Army man who drowns his sorrows in the bottle. He's desperate to escape his bleak Dublin life and start over in America with his girlfriend (Margot Grahame). So when British authorities advertise a reward for information about his best friend, current IRA member Frankie (Wallace Ford), Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?","Classics, Drama",,NR,John Ford,Dudley Nichols,"Victor McLaglen, Preston S. Foster, J.M. Kerrigan, Wallace Ford, Heather Angel, Margot Grahame, Una O'Connor, Joe Sawyer, Neil Fitzgerald, Donald Meek, D'Arcy Corrigan, Leo McCabe, Gaylord ""Steve"" Pendleton, Francis Ford, May Boley, Grizelda Harvey, Denis O'Dea, Jack Mulhall, Robert Parrish, Clyde Cook, Barlowe Borland, Frank Moran, Joseph Sauer, Griselda Harvey, Arthur McLaglen",1935-05-01,2015-05-07,Media Home Entertainment,Fresh,94.0,16.0,Upright,77.0,1081.0,0.0,15.0,1.0,98c15d3b-d3c6-4af3-b717-12d446154f5d
54,The Lives of a Bengal Lancer,1935,Paramount,Nominee,1935,109,"Adventure,Drama,War",7.1,"2,813",,,,,,,,,,,,,,,,,,,,f6953c25-25ea-41d3-807c-ef4fdfed54cd
55,A Midsummer Night's Dream,1935,Warner Bros.,Nominee,1935,133,"Comedy,Fantasy,Romance",6.9,"3,339","In this classic screen adaptation of Shakespeare's fantastical play, the royal wedding plans of Theseus, the duke of Athens (Ian Hunter) and Hippolyta overlap with the antics of forest fairies, led by Oberon and Titania, and a ragtag troupe of actors. Meanwhile, young lovers, including Lysander (Dick Powell) and Hermia (Olivia de Havilland), deceive each other in amusing ways, and magic adds a mischievous element to this enchanted romantic comedy.","Classics, Comedy, Drama, Science Fiction & Fantasy, Romance",,NR,"William Dieterle, Max Reinhardt","Mary C. McCall Jr., Charles Kenyon","Ian Hunter, James Cagney, Olivia de Havilland, Joe E. Brown, Dick Powell, Jean Muir, Anita Louise, Hugh Herbert, Mickey Rooney, Ross Alexander, Frank McHugh, Victor Jory, Grant Mitchell, Veree Teasdale, Nina Theilade, Verree Teasdale, Dewey Robinson, Hobart Cavanaugh, Otis Harlan, Arthur Treacher, Katherine Frey, Helen Westcott, Fred Sale, Nini Theilade, Billy Barty, Kenneth Anger",1935-10-09,2009-01-01,Warner Bros.,Fresh,91.0,11.0,Upright,62.0,1229.0,0.0,10.0,1.0,dee5c6d4-6438-4110-b72a-a49322b52070
56,Les Misérables,1935,20th Century,Nominee,1935,108,"Drama,History,Romance",7.7,"3,468",,,,,,,,,,,,,,,,,,,,521b9bf2-426b-49a1-aeb3-d228db8a970c
57,Naughty Marietta,1935,Metro-Goldwyn-Mayer,Nominee,1935,105,"Drama,Musical,Romance",6.7,"1,307",,,,,,,,,,,,,,,,,,,,adde70ec-0094-4ce0-91ff-6b9ab12387fd
58,Ruggles of Red Gap,1935,Paramount,Nominee,1935,90,"Comedy,Romance,Western",7.6,"3,874",,,,,,,,,,,,,,,,,,,,f4c74985-f2ec-45db-b8aa-444087ad34d4
59,Top Hat,1935,RKO Radio,Nominee,1935,101,"Comedy,Musical,Romance",7.8,"18,339","The story centers on wealthy Dale Tremont (Ginger Rogers), on holiday in London and Venice. She assumes that American entertainer Jerry Travers (Fred Astaire) is the husband of her friend Madge (Helen Broderick) -- who's actually the wife of Jerry's business manager Horace Hardwick (Edward Everett Horton).","Classics, Comedy, Musical & Performing Arts, Romance","A glamorous and enthralling Depression-era diversion, Top Hat is nearly flawless, with acrobatics by Fred Astaire and Ginger Rogers that make the hardest physical stunts seem light as air.",NR,Mark Sandrich,"Dwight Taylor, Allan Scott","Fred Astaire, Ginger Rogers, Edward Everett Horton, Helen Broderick, Eric Blore, Erik Rhodes, Eric Rhodes, Edward Mudie, Lucille Ball, Edgar Norton, Leonard Mudie, Gino Corrado, Peter Hobbes, Frank Mills, Tom Ricketts, Dennis O'Keefe, Ben Holmes, Nick Thompson, Tom Costello, John Impolito, Genaro Spagnoli, Rita Rozelle, Phyllis Coghlan, Charles Hall",1935-09-06,2008-08-18,Turner Home Entertainment,Certified-Fresh,100.0,42.0,Upright,91.0,9847.0,9.0,42.0,0.0,c7ea701f-f0be-4108-b734-14412b70d3b2
60,The Great Ziegfeld,1936,Metro-Goldwyn-Mayer,Winner,1936,176,"Biography,Drama,Musical",6.7,"7,665","This lively biopic depicts the rise of Florenz Ziegfeld (William Powell), a theater producer who became renowned during the 1920s for his lavish stage productions. Starting out by promoting individual performers, Ziegfeld established revues featuring dozens of women, shows that developed into his famous Ziegfeld Follies on Broadway. His appreciation of women is also apparent off-stage, leading to a love triangle involving actresses Anna Held (Luise Rainer) and Billie Burke (Myrna Loy).","Classics, Drama, Musical & Performing Arts, Romance","This biopic is undeniably stylish, but loses points for excessive length, an overreliance on clichés, and historical inaccuracies.",NR,Robert Z. Leonard,William Anthony McGuire,"William Powell, Luise Rainer, Myrna Loy, Frank Morgan, Reginald Owen, Nat Pendleton, Virginia Bruce, Ernest Cossart, Robert Greig, Joseph Cawthorn, Raymond Walburn, Fanny Brice, Jean Chatburn, Ann Pennington, Ray Bolger, Harriet Hoctor, Charles Trowbridge, Gilda Gray, Andrew A. Trimble, Joan Holland, A.A. Trimble, Buddy Doyle, Charles Judels, Leon Errol, Marcelle Corday, Esther Muir, Herman Bing, Paul Irving, William Demarest, Alfred P. James, Miss Morocco, Suzanne Kaaren, Sarah Edwards, James P. Burtis, Mickey Daniels, Grace Hayle, Richard Tucker, Clay Clement, Larry Wheat, Selmer Jackson, William M. Griffith, Alice Keating, Rosina Lawrence, Jack Baxley, Charles Coleman, Eric Wilton, Mary Howard, Selmar Jackson, Bert Hanlon, Evelyn Dockson, Franklyn Ardell, John Larkin, David Burns, Phil Tead, Susan Fleming, Adrienne D'Ambricourt, Charles Fallon, Boothe Howard, Lawrence Wheat, Edwin Maxwell, Ruth Gillette, Stanley Morner, John Hyams, Wallis Clark, Billie Burke, Raymond Brown, Pat Nixon, Mary Lange, Dennis Morgan",1936-01-01,2016-11-18,MGM Home Entertainment,Fresh,62.0,34.0,Spilled,50.0,2778.0,7.0,21.0,13.0,321ede7b-fac6-4259-b070-b403b3404042
61,Anthony Adverse,1936,Warner Bros.,Nominee,1936,141,"Adventure,Drama,Romance",6.4,"1,706",,,,,,,,,,,,,,,,,,,,339e98eb-684b-4a4e-a67c-9a3ffb5f0de9
62,Dodsworth,1936,Samuel Goldwyn Productions,Nominee,1936,101,"Drama,Romance",7.8,"8,668","When Sam Dodsworth (Walter Huston), the head of a car company, embarks on a vacation in Europe with his youth-obsessed wife, Fran (Ruth Chatterton), the couple find themselves growing apart. Soon Fran is flirting with other men and embracing a spontaneous and impulsive lifestyle, while Sam is left on his own. However, after running into the lively and independent Edith Cortwright (Mary Astor), an acquaintance from their transatlantic trip, Sam realizes that he may find love again.","Classics, Drama, Romance",,NR,William Wyler,Sidney Howard,"Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor, David Niven, Gregory Gaye, Maria Ouspenskaya, Odette Myrtil, Kathryn Marlowe, Spring Byington, John Payne, Harlan Briggs, Beatrice Maude, Gino Corrado, Inez Palange, Charles Halton, Jack George, Fred Malatesta, Dale Van Sickel, John Barclay, Wilson Benge",1936-09-23,2020-03-10,Samuel Goldwyn Films,Fresh,90.0,20.0,Upright,86.0,1466.0,3.0,18.0,2.0,693ad8e8-f9cf-4c4d-b332-18026348de67
63,Libeled Lady,1936,Metro-Goldwyn-Mayer,Nominee,1936,98,"Comedy,Romance",7.9,"7,509","When a major newspaper accuses wealthy socialite Connie Allenbury (Myrna Loy) of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty (Spencer Tracy), must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton (Jean Harlow), and his dashing friend Bill Chandler (William Powell) are in on a scheme that aims to discredit Connie, with amusing and unexpected results.","Classics, Comedy",,NR,Jack Conway,"George Oppenheimer, Maurine Dallas Watkins, Wallace Sullivan, Howard Emmet Rogers, Maurine Watkins","Myrna Loy, William Powell, Spencer Tracy, Jean Harlow, Walter Connolly, Charley Grapewin, Cora Witherspoon, E.E. Clive, Bunny Beatty, Otto Yamaoka, Charles Trowbridge, Spencer Charters, George Chandler, Greta Meyer, William 'Billy' Benedict, Hal K. Dawson, Fred Graham, William Stack, Selmer Jackson, William Newell, Duke York, Pat West, Edwin Stanley, Wally Maher, Pinky Parker, Harry Lash, Pat Somerset, Selmar Jackson, Tom Mahoney, Richard Tucker, Libby Taylor, Eric Lonsdale, Olaf Hytten, Charles Irwin, Eddie Shubert, George Davis, Thomas Pogue, Myra Marsh, Hattie McDaniel, Howard Hickman, James T. Mack, Jack Mulhall, Dennis O'Keefe, Charles King, Nick Thompson, Inez Palange, Harry C. Bradley, Bodil Rosing, Barnett Parker, Robin Adair, Charles Croker King, Sherry Hall, Norman Ainsley, Alphonse Martell, Eric Wilton, Jay Eaton, Ralph Brooks",1936-01-01,2013-12-03,Warner Home Video,Fresh,86.0,14.0,Upright,88.0,2696.0,0.0,12.0,2.0,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
64,Mr. Deeds Goes to Town,1936,Columbia,Nominee,1936,115,"Comedy,Drama,Romance",7.9,"20,594","Longfellow Deeds (Gary Cooper), a resident of small-town Vermont, leads a simple life until he inherits a vast fortune from a late uncle. Soon, unscrupulous lawyer John Cedar (Douglas Dumbrille) brings Deeds to New York City, where the unassuming heir is the object of much media attention. When wily reporter Babe Bennett (Jean Arthur) gains the trust and affection of Deeds, she uses her position to publish condescending articles about him -- but are her feelings for him really that shallow?","Classics, Comedy, Romance",,NR,Frank Capra,Robert Riskin,"Gary Cooper, Jean Arthur, George Bancroft, Ruth Donnelly, Lionel Stander, Douglass Dumbrille, Raymond Walburn, Margaret Matzenauer, H.B. Warner, Warren Hymer, Muriel Evans, Spencer Charters, Emma Dunn, Wyrley Birch, Wryley Birch, Arthur Hoyt, Stanley Andrews, Pierre Watkin, John Wray, Christian Rub, Jameson Thomas, Mayo Methot, Margaret Seddon, Margaret McWade, Russell Hicks, Gustav von Seyffertitz, Edward J. Le Saint, Charles Lane, Irving Bacon, George Cooper, Gene Morgan, Walter Catlett, Edward Gargan, Paul Hurst, Jay Eaton, Paul Porcasi, Franklin Pangborn, George 'Gabby' Hayes, Mary Lou Dix, George Meeker, Harry Holden, Barnett Parker, Eddie Kane, Patricia Monroe, Edward Keane, Lillian Ross, Peggy Page, Janet Eastman, Dennis O'Keefe, Dale Van Sickel, James Millican, Harry C. Bradley, Edwin Maxwell, Billy Bevan, Jack Mower, Ann Doran, Cecil Cunningham, John Picorri, Bess Flowers, Beatrice Curtis, Beatrice Blinn, Pauline Wagner, Frank Hammond, Lee Shumway, Charles Sullivan, Florence Wix, Hal Budlong, Ethel Palmer, Vesey O'Davoren, Charles C. Wilson",1936-04-12,2012-04-16,Columbia Pictures,Fresh,90.0,21.0,Upright,86.0,9236.0,0.0,19.0,2.0,9a189d11-e4f6-4b2b-9762-702806ce4a85
65,Romeo and Juliet,1936,Metro-Goldwyn-Mayer,Nominee,1936,125,"Drama,Romance",6.5,"1,910","In this classic Hollywood take on Shakespeare's tragic romance, dashing young Romeo (Leslie Howard), a Montague, falls in love with the radiant Juliet (Norma Shearer), a member of the Capulet family, the Montagues' sworn enemies. Willing to defy the families' feud, the two secretly get married, however their happy day turns tragic when Juliet's cousin, Tybalt (Basil Rathbone) kills Romeo's best friend, Mercutio (John Barrymore), prompting Romeo to retaliate.","Classics, Drama, Romance",,NR,George Cukor,Talbot Jennings,"Leslie Howard, Norma Shearer, John Barrymore, Basil Rathbone, Edna May Oliver, C. Aubrey Smith, Andy Devine, Henry Kolker, Violet Kemble Cooper, Ralph Forbes, Reginald Denny, Maurice Murphy, Conway Tearle, Virginia Hammond, Robert Warwick, Ian Wolfe, Carlyle Blackwell, Anthony Kemble-Cooper, Anthony Marsh, Howard Wilson, Carlyle Blackwell Jr., John Bryan, Katherine DeMille, Wallis Clark, Dean Richmond Bentor, Lita Chevret, Jeanne Hart, Dorothy Granger, Harold Entwistle, Vernon P. Downing, Charles Bancroft, Lon McCallister, José Rubio",1936-09-03,2016-11-21,MGM,Fresh,78.0,9.0,Spilled,50.0,6.0,0.0,7.0,2.0,1b04f1e8-f46b-403f-a5df-89ebebb52e4a
66,San Francisco,1936,Metro-Goldwyn-Mayer,Nominee,1936,115,"Drama,Musical,Romance",7.2,"5,254","Blackie Norton (Clark Gable) is a nightclub owner who hires a down-on-her-luck singer for his club, Mary Blake (Jeanette MacDonald). The two hit it off and even become romantically involved, but soon she is courted by real-estate magnate Jack Burley (Jack Holt) to sing at the Tivoli Opera House. At first she refuses, but when she sees questionable posters of her put up by Blackie, she leaves, forcing Blackie to find a way to win her and his business back.","Classics, Drama, Romance",,NR,"D.W. Griffith, W.S. Van Dyke","Anita Loos, Erich von Stroheim, Robert E. Hopkins","Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt, Ted Healy, Margaret Irving, Jessie Ralph, Harold Huber, Al Shean, Kenneth Harlan, William Ricciardi, Roger Imhof, Frank Mayo, Charles Judels, Russell Simpson, Bert Roach, Warren Hymer, Edgar Kennedy, Shirley Ross, Tandy MacKenzie, Tudor Williams, Spec O'Donnell, Bob McKenzie, Adrienne D'Ambricourt, Nigel De Brulier, Mae Digges, Nyas Berry, John Kelly, Jim Farley, Pat O'Malley, Otho Wright, Gertrude Astor, Ruth Gillette, Tom Dugan, Vince Barnett, Belle Mitchell, Fred M. Fagan, W.J. O'Brien, James Brewster Thompson, Samuel Glasser, John Pearson, Jason Robards Sr., William Newell, James Macklin, Tom McGuire, Wilbur Mack, Harry Myers, Edward Hearn, Henry Roquemore, G. Pat Collins, Harry Strang, Vernon Dent, Irving Bacon, Orrin Burke, David Thursby, John 'Skins' Miller, Helen Shipman, George Guhl, Edward Earle, Maude Allen, Jack Baxley, Carl Stockdale, Anthony Jowitt, Jane Barnes, Richard Carle, Oscar Apfel, Frank Sheridan, Ralph Lewis, Chester Gan, Jack Kennedy, Bill O'Brien, Cy Kendall, Don Rowan, Sherry Hall, Jason Robards Sr., Ben Taggart, Dennis O'Keefe, Charles Sullivan, Beatrice Roberts, Bruce Mitchell, Sidney Bracey, Tommy Bupp, Sam Ash, Bud Geary, George Magrill, King Baggot, Rhea Mitchell, Flora Finch, Fritzi Brunette, Helene Chadwick, Naomi Childers, Rosemary Theby, Jean Acker, Donald Hall",1936-06-26,2009-04-01,MGM,Fresh,100.0,11.0,Upright,70.0,1337.0,0.0,11.0,0.0,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
